# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		8181		3807		3032
1		6959		6636		3103
2		6162		8720		3153
3		5602		10430		3162
4		5078		11809		3217
5		4681		12894		3223
6		4364		13912		3216
7		4143		14713		3228
8		3949		15428		3237
9		3789		16077		3219
10		3650		16661		3230
11		3499		17208		3239
12		3428		17667		3247
13		3315		18113		3240
14		3237		18506		3234
15		3151		18871		3244
16		3114		19169		3260
17		3080		19500		3247
18		3003		19822		3254
19		2943		20122		3255
20		2945		20337		3254
21		2901		20630		3267
22		2840		20914		3262
23		2788		21176		3272
24		2733		21396		3277
25		2715		21604		3283
26		2693		21800		3282
27		2660		21980		3277
28		2626		22144		3275
29		2597		22304		3287
30		2557		22456		3276
31		2538		22619		3262
32		2537		22787		3254
33		2530		22942		3268
34		2509		23110		3269
35		2487		23244		3273
36		2475		23377		3279
37		2458		23507		3282
38		2452		23642		3277
39		2442		23767		3282
40		2429		23893		3276
41		2424		24011		3292
42		2393		24121		3286
43		2379		24228		3277
44		2374		24338		3292
45		2384		24438		3295
46		2362		24553		3302
47		2354		24648		3306
48		2348		24758		3298
49		2344		24836		3305
50		2326		24908		3308
51		2313		24985		3303
52		2309		25054		3308
53		2304		25134		3308
54		2291		25208		3308
55		2283		25259		3311
56		2284		25330		3304
57		2279		25378		3304
58		2282		25433		3310
59		2276		25487		3302
60		2251		25550		3306
61		2245		25607		3304
62		2228		25658		3310
63		2236		25730		3307
64		2230		25818		3308
65		2223		25881		3307
66		2229		25936		3304
67		2224		25991		3297
68		2220		26058		3293
69		2217		26120		3309
70		2204		26178		3310
71		2207		26247		3301
72		2189		26300		3298
73		2179		26346		3297
74		2177		26389		3305
75		2176		26438		3297
76		2167		26483		3299
77		2158		26528		3301
78		2161		26588		3303
79		2154		26626		3304
80		2155		26660		3296
81		2156		26706		3299
82		2150		26746		3297
83		2149		26793		3299
84		2148		26833		3299
85		2140		26866		3305
86		2148		26909		3303
87		2146		26957		3301
88		2144		26996		3301
89		2149		27046		3308
90		2144		27093		3308
91		2150		27144		3310
92		2154		27189		3310
93		2148		27236		3302
94		2127		27281		3296
95		2131		27318		3296
96		2121		27351		3298
97		2121		27375		3295
98		2123		27397		3297
99		2113		27422		3300
100		2109		27457		3304
101		2103		27494		3303
102		2102		27529		3306
103		2105		27570		3306
104		2107		27607		3302
105		2103		27655		3307
106		2094		27680		3311
107		2096		27717		3306
108		2093		27747		3310
109		2089		27780		3309
110		2089		27809		3307
111		2085		27835		3311
112		2085		27851		3315
113		2083		27876		3310
114		2084		27906		3313
115		2078		27932		3316
116		2073		27961		3315
117		2074		27981		3312
118		2070		28004		3314
119		2068		28021		3313
120		2068		28058		3310
121		2068		28073		3313
122		2069		28102		3312
123		2061		28112		3309
124		2066		28136		3312
125		2063		28151		3310
126		2066		28164		3313
127		2065		28182		3313
128		2061		28198		3315
129		2055		28207		3317
130		2053		28222		3312
131		2060		28239		3315
132		2054		28255		3316
133		2053		28276		3318
134		2056		28290		3318
135		2052		28302		3322
136		2054		28317		3316
137		2053		28341		3322
138		2055		28354		3323
139		2050		28375		3319
140		2051		28391		3316
141		2051		28408		3317
142		2043		28434		3313
143		2042		28446		3312
144		2042		28460		3313
145		2045		28475		3311
146		2047		28493		3311
147		2045		28505		3313
148		2040		28511		3311
149		2039		28527		3311
150		2038		28540		3313
151		2035		28552		3314
152		2043		28570		3314
153		2043		28590		3314
154		2044		28616		3314
155		2038		28632		3316
156		2038		28650		3323
157		2041		28666		3320
158		2041		28687		3321
159		2040		28718		3322
160		2044		28735		3318
161		2044		28756		3321
162		2041		28780		3320
163		2040		28797		3319
164		2045		28816		3326
165		2048		28841		3324
166		2044		28868		3318
167		2040		28888		3320
168		2042		28912		3320
169		2038		28937		3320
170		2034		28957		3324
171		2036		28966		3322
172		2031		28981		3323
173		2029		28993		3322
174		2027		29004		3322
175		2024		29014		3323
176		2019		29030		3327
177		2022		29039		3325
178		2018		29045		3327
179		2025		29065		3325
180		2028		29092		3325
181		2029		29108		3326
182		2029		29137		3327
183		2031		29157		3324
184		2023		29181		3326
185		2019		29202		3322
186		2016		29226		3328
187		2009		29240		3329
188		2007		29262		3331
189		2004		29271		3331
190		2005		29280		3331
191		2005		29289		3332
192		2008		29303		3332
193		2005		29310		3329
194		2004		29317		3332
195		2004		29328		3331
196		2004		29339		3332
197		2001		29345		3330
198		2000		29356		3331
199		2001		29361		3328
200		2003		29369		3330
201		2002		29371		3329
202		1998		29380		3331
203		1998		29380		3331
204		1997		29382		3333
205		1995		29383		3331
206		1995		29383		3331
207		1995		29383		3331
208		1996		29384		3330
209		1994		29385		3330
210		1994		29385		3330
211		1993		29386		3330
212		1993		29386		3330
213		1993		29386		3330
214		1993		29386		3330
215		1993		29386		3330
216		1993		29386		3330
217		1993		29386		3330
218		1993		29386		3330
219		1993		29386		3330
220		1993		29386		3330
221		1993		29386		3330
222		1991		29387		3330
223		1991		29387		3330
224		1991		29387		3330
225		1991		29387		3330
226		1991		29387		3330
227		1992		29388		3329
228		1992		29388		3329
229		1992		29388		3329
230		1990		29389		3331
231		1990		29389		3331
232		1990		29389		3331
233		1990		29389		3331
234		1990		29389		3331
235		1990		29389		3331
236		1990		29389		3331
237		1990		29389		3331
238		1990		29389		3331
239		1990		29389		3331
240		1990		29389		3331
241		1990		29389		3331
242		1990		29389		3331
243		1990		29389		3331
244		1990		29389		3331
245		1990		29389		3331
246		1990		29389		3331
247		1990		29389		3331
248		1990		29389		3331
249		1990		29389		3331
