# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		4840		2394		1444
1		4236		4771		1445
2		3995		7146		1502
3		3943		9525		1518
4		3896		11894		1567
5		3871		14271		1522
6		3798		16649		1592
7		3771		19029		1581
8		3742		21401		1583
9		3712		23766		1610
10		3741		26136		1624
11		3723		28501		1574
12		3709		30880		1610
13		3718		33251		1598
14		3688		35616		1577
15		3693		37989		1611
16		3705		40361		1625
17		3681		42725		1570
18		3654		45086		1621
19		3624		47449		1590
20		3662		49820		1540
21		3644		52194		1603
22		3629		54565		1605
23		3623		56938		1565
24		3636		59306		1613
25		3653		61678		1580
26		3612		64045		1599
27		3618		66409		1607
28		3608		68782		1617
29		3573		71146		1599
30		3553		73517		1641
31		3569		75888		1620
32		3570		78251		1611
33		3592		80625		1619
34		3552		83000		1621
35		3551		85362		1568
36		3556		87727		1614
37		3534		90093		1594
38		3517		92460		1584
39		3508		94827		1603
40		3521		97198		1606
41		3539		99563		1560
42		3541		101932		1614
43		3561		104307		1584
44		3531		106672		1589
45		3555		109032		1597
46		3553		111408		1630
47		3528		113777		1596
48		3499		116144		1605
49		3516		118509		1587
50		3505		120875		1583
51		3522		123240		1608
52		3538		125602		1593
53		3520		127973		1590
54		3521		130339		1617
55		3540		132710		1599
56		3549		135081		1591
57		3519		137440		1626
58		3546		139812		1601
59		3522		142185		1564
60		3504		144555		1600
61		3503		146919		1592
62		3487		149283		1586
63		3491		151655		1591
64		3497		154019		1598
65		3486		156382		1576
66		3487		158749		1603
67		3506		161102		1568
68		3503		163456		1576
69		3497		165812		1597
70		3509		168175		1589
71		3474		170541		1580
72		3483		172908		1594
73		3477		175277		1584
74		3445		177638		1584
75		3454		180007		1594
76		3462		182367		1579
77		3462		184719		1564
78		3458		187087		1588
79		3480		189452		1569
80		3458		191805		1568
81		3463		194172		1595
82		3450		196528		1595
83		3424		198897		1563
84		3445		201260		1568
85		3447		203631		1584
86		3456		205991		1555
87		3449		208348		1587
88		3452		210711		1589
89		3451		213069		1542
90		3432		215430		1589
91		3440		217796		1568
92		3416		220167		1568
93		3414		222531		1569
94		3445		224876		1579
95		3432		227232		1557
96		3406		229593		1600
97		3401		231951		1587
98		3384		234308		1563
99		3358		236669		1571
100		3368		239022		1603
101		3368		241379		1573
102		3373		243743		1597
103		3386		246101		1599
104		3358		248460		1564
105		3344		250813		1589
106		3377		253168		1613
107		3404		255525		1563
108		3395		257876		1594
109		3380		260225		1583
110		3390		262586		1567
111		3372		264944		1594
112		3368		267308		1593
113		3382		269670		1570
114		3407		272032		1588
115		3383		274389		1581
116		3396		276755		1571
117		3372		279110		1596
118		3383		281469		1614
119		3404		283827		1571
120		3394		286183		1587
121		3373		288540		1575
122		3363		290899		1558
123		3377		293263		1566
124		3381		295634		1599
125		3377		297992		1564
126		3379		300351		1610
127		3377		302707		1586
128		3380		305076		1587
129		3351		307438		1582
130		3361		309793		1602
131		3379		312151		1584
132		3365		314514		1616
133		3355		316881		1617
134		3365		319233		1583
135		3361		321588		1590
136		3377		323950		1583
137		3361		326317		1579
138		3346		328674		1600
139		3345		331033		1595
140		3355		333396		1584
